time_code,value
20190102 00:08,0.16
20190102 07:19,14.04
20190102 07:35,40.18
20190102 07:56,5.52
20190102 08:13,45.71
20190102 08:31,5.4
20190102 08:50,10.19
20190102 09:30,15.89
20190102 10:10,18.46
20190102 10:45,23.4
20190102 11:15,19.44
20190102 11:24,2.48
20190102 11:55,7.32
20190102 12:15,10.92
20190102 13:29,6.68
20190102 13:50,2.76
20190102 14:34,9.15
20190102 14:40,15.91
20190102 14:50,11.28
20190102 15:09,10.29
20190102 15:15,9.57
20190102 15:45,6.19
20190102 16:05,7.92
20190102 16:15,15.45
20190102 16:31,18.51
20190102 17:55,67.53
20190102 18:25,32.37
20190102 18:53,23.81
20190102 19:04,18.84
20190102 19:20,25.98
20190102 20:45,0.9
20190102 20:55,4.8
20190102 21:13,1.5
20190102 21:30,1.35
20190102 23:09,34.74
20190102 23:50,2.59
20190103 02:09,0.2
20190103 04:45,0.15
20190103 05:01,0.14
20190103 05:55,1.35
20190103 07:05,8.49
20190103 07:20,6.41
20190103 07:49,5.58
20190103 08:00,11.86
20190103 08:12,6.57
20190103 09:12,11.08
20190103 09:30,10.2
20190103 09:50,16.76
20190103 10:06,14.46
20190103 10:21,11.73
20190103 10:30,31.02
20190103 10:40,42.09
20190103 10:51,25.26
20190103 11:09,35.54
20190103 11:30,51.15
20190103 11:49,44.85
20190103 12:09,53.55
20190103 12:35,27.27
20190103 13:12,31.44
20190103 14:04,27.9
20190103 14:52,16.19
20190103 15:08,9.99
20190103 15:40,14.16
20190103 16:10,7.62
20190103 16:20,15.38
20190103 17:15,32.31
20190103 17:24,42.12
20190103 17:36,51.92
20190103 18:00,56.52
20190103 18:20,45.23
20190103 18:36,32.08
20190103 19:14,10.27
20190103 19:30,17.07
20190103 19:45,11.65
20190103 20:07,6.18
20190103 20:15,2.43
20190103 20:39,0.87
20190103 21:10,3.77
20190103 21:48,3.84
20190103 22:55,32.31
20190104 00:55,0.3
20190104 06:51,1.01
20190104 07:25,5.61
20190104 07:45,12.76
20190104 08:10,11.08
20190104 08:50,13.68
20190104 09:50,9.48
20190104 09:59,25.8
20190104 10:12,34.44
20190104 10:36,53.13
20190104 10:43,49.02
20190104 11:03,60.53
20190104 13:09,4.85
20190104 13:30,30.06
20190104 14:07,29.33
20190104 14:15,32.64
20190104 14:23,27.83
20190104 14:50,27.8
20190104 15:00,17.46
20190104 15:24,20.48
20190104 15:55,8.91
20190104 16:15,29.97
20190104 16:28,15.7
20190104 16:45,27.95
20190104 17:20,55.22
20190104 17:30,60.98
20190104 17:55,96.43
20190104 19:09,47.95
20190104 19:20,56.39
20190104 19:55,72.72
20190104 20:14,32.39
20190104 20:45,4.59
20190104 22:58,16.61
20190104 23:34,43.08
20190105 02:17,0.64
20190105 06:35,3.15
20190105 08:59,1.35
20190105 09:48,10.11
20190105 10:22,9.89
20190105 10:54,30.93
20190105 11:15,14.98
20190105 11:40,15.98
20190105 12:15,27.84
20190105 12:35,30.16
20190105 12:39,23.67
20190105 13:15,19.53
20190105 13:38,20.77
20190105 13:50,24.21
20190105 14:10,30.05
20190105 14:30,39.81
20190105 14:36,36.17
20190105 15:17,33.72
20190105 16:07,19.72
20190105 16:20,22.09
20190105 16:49,19.63
20190105 16:58,16.38
20190105 17:15,12.68
20190105 17:31,5.55
20190105 17:55,8.04
20190105 18:16,5.13
20190105 18:23,16.68
20190105 18:53,12.57
20190105 19:14,10.99
20190105 21:05,5.98
20190105 21:19,3.42
20190105 21:40,5.22
20190105 21:55,4.74
20190105 22:17,7.5
20190105 23:16,5.49
20190106 00:15,0.45
20190106 01:09,0.17
20190106 06:15,1.9
20190106 06:18,2.37
20190106 06:32,0.57
20190106 07:04,10.8
20190106 07:28,14.16
20190106 07:47,27.63
20190106 08:10,17.7
20190106 09:50,14.76
20190106 10:36,12.5
20190106 10:45,11.1
20190106 11:05,12.83
20190106 11:25,20.9
20190106 11:36,16.95
20190106 11:50,12.4
20190106 12:02,9.42
20190106 12:15,14.3
20190106 13:30,15.24
20190106 14:12,9.78
20190106 14:26,15.99
20190106 15:12,15.84
20190106 15:20,17.1
20190106 15:40,9.12
20190106 16:34,14.1
20190106 17:03,7.17
20190106 17:22,3.78
20190223 04:26,0.54
20190223 07:26,3.57
20190223 14:26,53.23
20190307 22:46,1.59
20190307 23:26,0.48
20190308 04:26,0.57
20190308 06:26,4.84
