DateTime,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2020-11-25 01:00:00,5,3578.19,63.48,21.25,0.42,32.42,59.21,101.61,18.49
2020-11-25 02:00:00,5,4219.06,76.89,27.42,0.77,41.49,66.92,116.78,23.81
2020-11-25 03:00:00,5,4005.43,72.42,34.27,1.29,47.21,68.18,124.09,28.63
2020-11-25 04:00:00,4,2296.45,31.29,35.3,1.79,32.42,36.84,67.14,17.23
2020-11-25 05:00:00,4,1815.8,19.0,35.3,1.21,25.99,27.54,47.35,12.54
2020-11-25 06:00:00,3,1762.39,16.54,34.96,0.53,24.08,24.71,40.32,10.64
2020-11-25 07:00:00,3,1789.09,16.76,32.22,1.11,21.46,22.9,36.53,9.63
2020-11-25 08:00:00,4,2082.82,22.35,33.93,2.33,23.6,25.74,40.53,10.39
2020-11-25 09:00:00,4,2590.18,30.85,38.73,2.48,28.37,31.34,48.57,11.65
2020-11-25 10:00:00,4,4058.84,60.8,45.24,0.98,39.58,48.16,73.78,15.83
2020-11-25 11:00:00,5,5500.79,92.98,45.93,0.08,47.21,68.09,108.15,20.27
2020-11-25 12:00:00,5,5393.98,91.2,40.78,0.0,42.92,77.36,130.46,23.05
2020-11-25 13:00:00,5,11535.65,198.48,47.3,0.0,76.29,237.61,354.04,62.82
2020-11-25 14:00:00,5,17517.09,303.98,56.89,0.0,121.12,438.87,632.59,123.62
2020-11-25 15:00:00,5,20721.44,354.05,65.12,0.0,154.5,587.08,844.14,176.31
2020-11-25 16:00:00,5,22857.67,386.24,73.34,0.0,177.38,668.66,966.7,204.68
2020-11-25 17:00:00,5,22644.04,386.24,75.4,0.0,173.57,635.1,918.24,186.44
2020-11-25 18:00:00,5,20507.81,354.05,71.29,0.0,150.68,573.69,830.76,158.07
2020-11-25 19:00:00,5,15380.86,264.65,55.52,0.0,107.77,455.02,678.58,118.55
2020-11-25 20:00:00,5,10147.09,177.03,35.3,0.0,65.8,338.61,530.51,80.05
2020-11-25 21:00:00,5,7049.56,123.38,20.91,0.0,36.24,265.93,431.77,46.61
2020-11-25 22:00:00,5,4753.11,84.04,14.91,0.0,18.36,188.23,313.1,14.82
2020-11-25 23:00:00,5,4592.9,81.36,13.71,0.0,18.84,170.37,281.27,12.29
2020-11-26 00:00:00,5,6568.91,116.23,18.85,0.01,32.9,190.51,301.43,19.25
2020-11-26 01:00:00,5,5821.23,105.5,25.71,0.06,43.39,122.05,189.3,19.76
2020-11-26 02:00:00,5,7476.81,130.53,31.19,0.11,57.22,129.18,198.29,26.6
2020-11-26 03:00:00,5,6835.94,144.84,34.62,0.17,72.48,137.16,216.53,34.45
2020-11-26 04:00:00,5,3417.97,73.31,36.67,0.17,56.74,74.56,117.22,19.25
2020-11-26 05:00:00,4,2349.85,40.68,35.64,0.13,41.01,46.19,73.62,14.69
2020-11-26 06:00:00,4,1976.01,26.38,35.99,0.65,31.95,33.51,55.09,13.55
2020-11-26 07:00:00,3,1602.17,14.31,34.27,3.17,22.41,23.13,38.63,11.4
2020-11-26 08:00:00,2,1468.66,10.28,32.56,5.1,18.36,19.21,31.55,10.13
2020-11-26 09:00:00,2,1535.42,10.95,32.22,4.07,17.41,19.05,30.46,9.63
2020-11-26 10:00:00,4,2883.91,38.89,35.3,0.83,26.7,32.45,51.44,13.81
2020-11-26 11:00:00,5,4432.68,71.53,37.7,0.06,36.72,51.73,84.49,19.25
2020-11-26 12:00:00,5,4646.3,76.0,37.01,0.0,37.19,64.99,111.28,23.05
2020-11-26 13:00:00,5,4913.33,76.89,40.44,0.0,39.1,85.67,146.39,27.36
2020-11-26 14:00:00,5,5020.14,75.1,43.18,0.0,39.1,104.13,175.12,27.87
2020-11-26 15:00:00,5,4966.74,71.53,43.18,0.0,38.15,118.56,197.98,27.36
2020-11-26 16:00:00,5,4592.9,65.27,40.44,0.0,33.85,113.01,189.66,22.55
2020-11-26 17:00:00,5,3364.56,47.83,32.56,0.0,24.8,79.24,141.04,13.55
2020-11-26 18:00:00,4,2056.12,27.49,24.68,0.0,16.69,49.54,94.18,8.61
2020-11-26 19:00:00,4,1241.68,12.63,18.17,0.07,10.73,31.83,62.99,6.21
2020-11-26 20:00:00,4,1054.76,8.94,14.91,0.15,8.94,29.51,58.52,5.76
2020-11-26 21:00:00,4,1054.76,9.16,13.71,0.12,8.94,31.21,61.35,6.02
2020-11-26 22:00:00,4,1228.33,12.85,14.22,0.03,10.85,35.76,68.24,6.65
2020-11-26 23:00:00,4,1562.12,20.34,16.97,0.01,15.02,40.72,74.14,8.04
2020-11-27 00:00:00,5,2830.51,46.49,21.94,0.2,26.7,60.31,101.18,14.44
2020-11-27 01:00:00,5,4379.27,82.25,30.16,0.77,45.3,77.71,124.21,21.28
2020-11-27 02:00:00,5,5393.98,105.5,41.81,1.61,61.99,93.38,149.27,30.15
2020-11-27 03:00:00,5,5126.95,92.09,57.58,3.93,67.71,92.67,152.44,34.96
2020-11-27 04:00:00,4,2670.29,31.74,54.84,10.46,42.44,46.64,81.14,21.03
2020-11-27 05:00:00,4,2002.72,14.75,52.78,14.84,33.85,32.43,57.96,16.72
2020-11-27 06:00:00,4,1922.61,10.62,56.89,14.31,34.33,29.57,53.98,16.21
2020-11-27 07:00:00,4,2162.93,10.84,65.12,8.14,36.24,32.12,59.04,17.73
2020-11-27 08:00:00,4,2883.91,21.46,74.03,3.4,43.39,42.07,73.36,20.77
2020-11-27 09:00:00,5,3685.0,38.89,80.2,0.81,52.93,52.46,86.51,22.8
2020-11-27 10:00:00,5,16021.73,293.26,97.33,0.16,104.9,198.98,278.22,43.57
2020-11-27 11:00:00,5,34606.93,672.34,126.12,0.01,154.5,465.65,619.36,58.26
2020-11-27 12:00:00,5,44433.59,872.61,148.06,0.0,158.31,706.27,938.22,68.9
2020-11-27 13:00:00,5,46142.58,886.92,153.54,0.0,141.14,901.05,1203.92,72.96
2020-11-27 14:00:00,5,39733.89,743.87,134.35,0.0,101.09,919.3,1244.7,52.18
2020-11-27 15:00:00,5,27130.13,486.37,97.33,0.0,70.57,719.1,1003.65,38.0
2020-11-27 16:00:00,5,10360.72,166.3,62.38,0.0,41.01,270.77,438.28,25.59
2020-11-27 17:00:00,5,7049.56,108.18,50.04,0.0,32.42,177.61,311.81,17.99
2020-11-27 18:00:00,5,6034.85,88.51,46.61,0.0,27.18,159.09,272.92,14.95
2020-11-27 19:00:00,5,4966.74,66.16,45.93,0.0,23.37,146.79,243.95,14.44
2020-11-27 20:00:00,5,4005.43,47.83,43.87,0.0,20.74,131.46,215.74,13.3
2020-11-27 21:00:00,5,3391.27,37.1,45.24,0.0,21.22,124.26,197.52,13.05
2020-11-27 22:00:00,5,3150.94,32.63,50.04,0.0,24.56,126.49,190.61,13.55
2020-11-27 23:00:00,5,3150.94,34.87,50.04,0.01,28.13,130.21,191.33,13.68
2020-11-28 00:00:00,5,3578.19,47.39,48.67,0.81,34.33,131.07,193.08,15.96
